COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2008-05-16 20:33:47,0.0,37.0,1.0,17.0,0.0,19.0,1.0,54.0,12.0,1.0,226.0,0.0,2.0,45.0,9.0,43.0
2008-06-30 19:13:23,18669.0,37.0,1.0,17.0,0.0,19.0,1.0,54.0,13.0,1.0,226.0,0.0,2.0,45.0,9.0,43.0
2008-07-30 19:13:23,18907.333333333332,37.0,1.0,17.0,0.6666666666666666,19.0,1.0,65.33333333333333,12.666666666666666,1.0,226.33333333333334,0.0,2.0,45.0,10.0,42.666666666666664
2008-08-29 19:13:23,19145.666666666668,37.0,1.0,17.0,1.3333333333333333,19.0,1.0,76.66666666666667,12.333333333333334,1.0,226.66666666666666,0.0,2.0,45.0,11.0,42.333333333333336
2008-10-07 23:03:47,19384.0,37.0,1.0,17.0,2.0,19.0,1.0,88.0,12.0,1.0,227.0,0.0,2.0,45.0,12.0,42.0
2008-11-21 21:31:36,19448.0,37.0,1.0,17.0,2.0,19.0,1.0,88.0,12.0,1.0,230.0,0.0,2.0,45.0,12.0,42.0
2009-01-05 21:02:48,19680.0,37.0,1.0,19.0,2.0,19.0,1.0,104.0,13.0,1.0,234.0,0.0,2.0,45.0,12.0,42.0
2009-02-05 00:24:42,18800.0,32.0,1.0,13.0,2.0,19.0,1.0,98.0,13.0,1.0,274.0,0.0,2.0,31.0,15.0,7.0
2009-03-13 00:28:06,11585.0,36.0,1.0,8.0,4.0,14.0,2.0,79.0,7.0,3.0,164.0,0.0,2.0,14.0,15.0,7.0
2009-04-29 23:20:56,11658.0,36.0,1.0,8.0,4.0,14.0,2.0,25.0,13.0,3.0,164.0,0.0,2.0,14.0,15.0,7.0
2009-06-04 02:05:25,11663.0,36.0,1.0,8.0,4.0,14.0,2.0,25.0,13.0,3.0,164.0,0.0,2.0,14.0,15.0,7.0
2009-07-31 19:32:34,11783.0,36.0,1.0,8.0,4.0,14.0,2.0,25.0,13.0,3.0,164.0,0.0,2.0,14.0,15.0,7.0
2009-09-01 23:03:47,12241.0,36.0,2.0,10.0,4.0,14.0,2.0,24.0,10.0,3.0,180.0,0.0,2.0,14.0,15.0,8.0
2009-10-15 01:24:26,12515.0,36.0,2.0,15.0,4.0,14.0,2.0,24.0,10.0,3.0,184.0,0.0,2.0,14.0,15.0,8.0
2009-11-19 17:26:38,12815.0,36.0,2.0,16.0,4.0,14.0,2.0,24.0,11.0,3.0,190.0,0.0,2.0,14.0,15.0,8.0
2009-12-31 18:59:15,12875.0,36.0,2.0,16.0,4.0,14.0,2.0,24.0,11.0,3.0,193.0,0.0,2.0,14.0,15.0,8.0
2010-02-15 03:24:55,13890.0,36.0,4.0,13.0,4.0,14.0,2.0,24.0,12.0,3.0,193.0,0.0,4.0,14.0,19.0,8.0
2010-03-26 05:05:59,13258.0,37.0,5.0,15.0,5.0,14.0,2.0,27.0,18.0,3.0,204.0,0.0,5.0,14.0,22.0,8.0
2010-04-25 15:20:02,11957.0,40.0,4.0,12.0,8.0,14.0,3.0,10.0,18.0,3.0,120.0,0.0,5.0,14.0,8.0,7.0
2010-05-26 16:34:48,12465.0,40.0,4.0,9.0,8.0,14.0,3.0,10.0,19.0,3.0,119.0,0.0,5.0,14.0,8.0,7.0
2010-06-25 16:34:48,12473.0,40.0,4.0,10.0,8.0,14.0,3.0,10.0,19.0,3.0,119.0,0.0,5.0,14.0,8.0,7.0
2010-07-28 22:31:12,12481.0,40.0,4.0,11.0,8.0,14.0,3.0,10.0,19.0,3.0,119.0,0.0,5.0,14.0,8.0,7.0
2010-09-08 00:06:35,13495.0,41.0,4.0,11.0,8.0,14.0,3.0,14.0,27.0,4.0,116.0,0.0,6.0,14.0,8.0,7.0
2010-10-19 17:20:57,15885.0,65.0,5.0,11.0,10.0,15.0,3.0,11.0,43.0,5.0,122.0,1.0,9.0,20.0,8.0,7.0
2010-11-19 00:06:51,18359.0,69.0,3.0,14.0,15.0,16.0,3.0,32.0,46.0,13.0,123.0,1.0,10.0,20.0,23.0,7.0
2011-01-08 03:49:16,18959.0,69.0,3.0,12.0,15.0,16.0,3.0,32.0,46.0,13.0,123.0,1.0,10.0,20.0,23.0,7.0
2011-02-08 17:26:37,19199.0,72.0,3.0,12.0,15.0,16.0,3.0,32.0,46.0,13.0,123.0,1.0,10.0,20.0,23.0,7.0
2011-03-15 09:55:33,18886.0,72.0,5.0,12.0,15.0,16.0,3.0,33.0,46.0,13.0,123.0,1.0,10.0,20.0,24.0,7.0
2011-04-14 09:55:33,18877.333333333332,72.0,5.0,12.0,15.0,16.0,3.0,33.0,46.0,13.0,123.0,1.0,10.0,20.0,24.0,7.0
2011-05-14 09:55:33,18868.666666666668,72.0,5.0,12.0,15.0,16.0,3.0,33.0,46.0,13.0,123.0,1.0,10.0,20.0,24.0,7.0
2011-06-14 19:38:27,18860.0,72.0,5.0,12.0,15.0,16.0,3.0,33.0,46.0,13.0,123.0,1.0,10.0,20.0,24.0,7.0
2011-07-29 21:08:04,18931.0,72.0,5.0,12.0,15.0,16.0,3.0,33.0,46.0,13.0,123.0,1.0,10.0,20.0,24.0,7.0
2011-09-20 22:53:31,19672.0,73.0,5.0,12.0,15.0,17.0,3.0,40.0,50.0,13.0,123.0,1.0,10.0,20.0,24.0,7.0
2011-11-02 22:40:01,19710.0,73.0,5.0,12.0,15.0,17.0,3.0,33.0,50.0,13.0,123.0,1.0,10.0,20.0,24.0,7.0
2011-12-27 22:26:59,19872.0,73.0,5.0,12.0,15.0,17.0,3.0,33.0,50.0,13.0,123.0,1.0,10.0,20.0,24.0,7.0
2012-01-27 04:01:54,20461.0,73.0,5.0,12.0,15.0,17.0,3.0,33.0,50.0,13.0,123.0,1.0,10.0,21.0,24.0,9.0
2012-02-26 04:01:54,20460.5,73.0,5.0,12.0,15.0,17.0,3.0,32.5,50.0,13.0,123.0,1.0,10.0,21.0,24.0,9.0
2012-04-11 22:28:26,20460.0,73.0,5.0,12.0,15.0,17.0,3.0,32.0,50.0,13.0,123.0,1.0,10.0,21.0,24.0,9.0
2012-05-27 10:54:17,20878.0,73.0,5.0,12.0,15.0,17.0,3.0,32.0,50.0,13.0,126.0,1.0,10.0,21.0,25.0,9.0
2012-06-26 10:54:17,20906.5,73.0,5.0,12.0,15.0,17.0,3.0,31.5,50.5,13.0,124.5,1.0,9.0,21.0,24.5,9.0
2012-08-22 02:27:06,20935.0,73.0,5.0,12.0,15.0,17.0,3.0,31.0,51.0,13.0,123.0,1.0,8.0,21.0,24.0,9.0
2012-10-09 18:42:16,21026.0,73.0,5.0,12.0,15.0,26.0,3.0,31.0,51.0,13.0,123.0,1.0,8.0,21.0,24.0,13.0
