COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2002-01-06 05:06:21,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-02-05 05:06:21,1350.0,0.0,0.0,2.5,1.0,0.0,0.0,4.0,2.0,1.5,0.0,1.5,1.5,0.0,0.0,2.5
2002-03-11 05:12:02,2661.0,0.0,0.0,5.0,2.0,0.0,0.0,7.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,5.0
2002-04-10 05:12:02,3157.8333333333335,0.6666666666666666,0.0,5.166666666666667,3.833333333333333,0.0,0.0,10.833333333333334,5.333333333333333,3.0,0.0,3.0,5.833333333333334,0.0,0.5,5.166666666666667
2002-05-10 05:12:02,3654.6666666666665,1.3333333333333333,0.0,5.333333333333333,5.666666666666666,0.0,0.0,14.666666666666668,6.666666666666666,3.0,0.0,3.0,8.666666666666668,0.0,1.0,5.333333333333333
2002-06-09 05:12:02,4151.5,2.0,0.0,5.5,7.5,0.0,0.0,18.5,8.0,3.0,0.0,3.0,11.5,0.0,1.5,5.5
2002-07-09 05:12:02,4648.333333333333,2.6666666666666665,0.0,5.666666666666667,9.333333333333332,0.0,0.0,22.333333333333336,9.333333333333332,3.0,0.0,3.0,14.333333333333334,0.0,2.0,5.666666666666667
2002-08-08 05:12:02,5145.166666666666,3.333333333333333,0.0,5.833333333333333,11.166666666666666,0.0,0.0,26.166666666666668,10.666666666666666,3.0,0.0,3.0,17.166666666666668,0.0,2.5,5.833333333333333
2002-09-19 17:11:46,5642.0,4.0,0.0,6.0,13.0,0.0,0.0,30.0,12.0,3.0,0.0,3.0,20.0,0.0,3.0,6.0
2002-10-19 17:11:46,6063.5,4.0,0.0,7.0,15.0,0.0,0.0,32.5,12.0,3.0,0.0,1.5,21.0,0.0,3.0,4.0
2002-12-15 21:46:41,6485.0,4.0,0.0,8.0,17.0,0.0,0.0,35.0,12.0,3.0,0.0,0.0,22.0,0.0,3.0,2.0
2003-01-20 06:15:06,6635.0,4.0,0.0,8.0,18.0,0.0,0.0,37.0,13.0,3.0,0.0,0.0,23.0,0.0,3.0,2.0
2003-03-20 01:11:18,6529.0,4.0,0.0,7.0,15.0,0.0,0.0,9.0,13.0,3.0,0.0,0.0,21.0,0.0,3.0,2.0
2003-04-29 00:53:43,6407.0,4.0,0.0,5.0,14.0,0.0,0.0,9.0,13.0,3.0,0.0,0.0,21.0,0.0,3.0,0.0
2003-05-29 03:02:01,7698.0,20.0,0.0,1.0,13.0,0.0,2.0,9.0,18.0,5.0,0.0,0.0,12.0,0.0,4.0,0.0
2003-06-28 03:02:01,8146.0,19.5,0.0,1.0,13.0,0.0,2.0,9.5,17.5,5.0,0.0,0.0,12.0,0.0,4.0,0.0
2003-08-12 00:29:34,8594.0,19.0,0.0,1.0,13.0,0.0,2.0,10.0,17.0,5.0,0.0,0.0,12.0,0.0,4.0,0.0
2003-09-28 20:39:57,7544.0,19.0,0.0,1.0,1.0,0.0,1.0,10.0,9.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0
2003-10-28 20:39:57,7543.333333333333,19.0,0.0,1.0,1.0,0.0,1.0,7.333333333333334,9.0,5.0,0.3333333333333333,0.0,0.0,0.0,4.0,0.0
2003-11-27 20:39:57,7542.666666666667,19.0,0.0,1.0,1.0,0.0,1.0,4.666666666666667,9.0,5.0,0.6666666666666666,0.0,0.0,0.0,4.0,0.0
2004-01-17 17:32:28,7542.0,19.0,0.0,1.0,1.0,0.0,1.0,2.0,9.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0
2004-02-16 17:32:28,7892.0,19.5,0.0,1.0,1.0,0.0,1.5,2.5,9.0,5.0,4.5,0.0,0.0,0.0,4.0,0.0
2004-03-30 02:42:06,8242.0,20.0,0.0,1.0,1.0,0.0,2.0,3.0,9.0,5.0,8.0,0.0,0.0,0.0,4.0,0.0
2004-04-29 02:42:06,8043.0,20.0,0.0,1.0,1.5,0.0,2.0,4.0,10.5,5.5,8.0,0.0,0.5,0.0,6.0,0.0
2004-06-08 14:48:35,7844.0,20.0,0.0,1.0,2.0,0.0,2.0,5.0,12.0,6.0,8.0,0.0,1.0,0.0,8.0,0.0
2004-07-08 14:48:35,7596.5,20.0,0.0,1.0,2.0,0.0,2.0,4.0,11.5,6.0,8.0,0.0,1.0,0.0,8.0,0.0
2004-08-27 16:13:52,7349.0,20.0,0.0,1.0,2.0,0.0,2.0,3.0,11.0,6.0,8.0,0.0,1.0,0.0,8.0,0.0
2004-10-04 03:54:46,7734.0,20.0,0.0,1.0,2.0,0.0,2.0,4.0,11.0,7.0,8.0,0.0,1.0,0.0,8.0,0.0
2004-11-12 16:02:52,7651.0,20.0,0.0,1.0,2.0,0.0,2.0,4.0,11.0,7.0,8.0,0.0,1.0,0.0,8.0,0.0
2004-12-12 16:02:52,7570.0,20.0,0.0,1.0,1.6666666666666667,0.0,2.0,4.0,10.666666666666666,7.0,8.0,0.0,0.6666666666666667,0.0,8.0,0.0
2005-01-11 16:02:52,7489.0,20.0,0.0,1.0,1.3333333333333335,0.0,2.0,4.0,10.333333333333334,7.0,8.0,0.0,0.33333333333333337,0.0,8.0,0.0
2005-02-13 23:50:12,7408.0,20.0,0.0,1.0,1.0,0.0,2.0,4.0,10.0,7.0,8.0,0.0,0.0,0.0,8.0,0.0
