COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2002-07-17 10:23:44,4175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2002-08-20 02:57:02,4290.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2002-09-19 02:57:02,5136.5,1.0,0.0,0.0,0.0,0.5,0.0,5.5,1.0,0.5,0.5,1.5,1.0,0.0,1.0,0.0
2002-10-21 00:47:39,5983.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0
2002-11-21 04:25:58,7996.0,2.0,1.0,0.0,0.0,1.0,0.0,10.0,3.0,0.0,19.0,6.0,4.0,0.0,2.0,0.0
2002-12-21 04:25:58,8112.5,1.5,1.0,0.0,0.0,1.5,0.0,7.5,3.5,0.0,19.5,6.5,4.0,0.0,2.0,0.0
2003-01-21 02:44:57,8229.0,1.0,1.0,0.0,0.0,2.0,0.0,5.0,4.0,0.0,20.0,7.0,4.0,0.0,2.0,0.0
2003-02-20 07:30:36,7465.0,1.0,1.0,0.0,0.0,2.0,0.0,9.0,8.0,0.0,22.0,9.0,6.0,0.0,7.0,0.0
2003-03-22 07:30:36,7707.5,1.5,1.0,0.0,0.0,2.5,0.0,9.0,8.0,0.0,27.5,9.0,6.0,0.0,12.0,0.0
2003-04-29 01:41:38,7950.0,2.0,1.0,0.0,0.0,3.0,0.0,9.0,8.0,0.0,33.0,9.0,6.0,0.0,17.0,0.0
2003-05-29 01:41:38,8021.0,2.0,1.0,0.0,0.0,3.0,0.0,9.0,8.0,0.0,33.0,9.0,6.0,0.0,17.0,0.0
2003-06-28 10:49:21,8092.0,2.0,1.0,0.0,0.0,3.0,0.0,9.0,8.0,0.0,33.0,9.0,6.0,0.0,17.0,0.0
2003-07-28 10:49:21,8125.8,2.0,1.0,0.0,0.0,3.0,0.0,9.0,8.0,0.0,33.6,9.0,6.0,0.0,17.0,0.0
2003-08-27 10:49:21,8159.6,2.0,1.0,0.0,0.0,3.0,0.0,9.0,8.0,0.0,34.2,9.0,6.0,0.0,17.0,0.0
2003-09-26 10:49:21,8193.4,2.0,1.0,0.0,0.0,3.0,0.0,9.0,8.0,0.0,34.8,9.0,6.0,0.0,17.0,0.0
2003-10-26 10:49:21,8227.2,2.0,1.0,0.0,0.0,3.0,0.0,9.0,8.0,0.0,35.4,9.0,6.0,0.0,17.0,0.0
2003-11-28 17:27:16,8261.0,2.0,1.0,0.0,0.0,3.0,0.0,9.0,8.0,0.0,36.0,9.0,6.0,0.0,17.0,0.0
2003-12-28 17:27:16,8304.333333333334,2.0,1.0,0.0,0.0,3.0,0.0,9.0,8.333333333333334,0.0,36.0,9.0,6.0,0.0,17.333333333333332,0.0
2004-01-27 17:27:16,8347.666666666666,2.0,1.0,0.0,0.0,3.0,0.0,9.0,8.666666666666666,0.0,36.0,9.0,6.0,0.0,17.666666666666668,0.0
2004-02-28 03:35:53,8391.0,2.0,1.0,0.0,0.0,3.0,0.0,9.0,9.0,0.0,36.0,9.0,6.0,0.0,18.0,0.0
2004-03-29 03:35:53,8692.0,2.5,1.0,0.0,0.0,3.0,0.0,9.5,10.0,1.0,36.0,9.0,6.0,0.0,18.0,0.0
2004-05-01 18:14:29,8993.0,3.0,1.0,0.0,0.0,3.0,0.0,10.0,11.0,2.0,36.0,9.0,6.0,0.0,18.0,0.0
2004-06-03 17:14:16,11545.0,8.0,1.0,0.0,0.0,4.0,0.0,14.0,12.0,4.0,44.0,9.0,6.0,0.0,18.0,0.0
2004-07-04 18:45:56,13537.0,8.0,1.0,3.0,0.0,16.0,0.0,15.0,16.0,4.0,45.0,9.0,6.0,0.0,18.0,6.0
2004-08-26 16:37:55,14181.0,8.0,1.0,3.0,0.0,16.0,0.0,15.0,16.0,4.0,45.0,9.0,6.0,0.0,18.0,6.0
2004-10-11 19:27:53,14477.0,8.0,1.0,3.0,0.0,16.0,0.0,16.0,16.0,4.0,46.0,10.0,6.0,0.0,18.0,6.0
2004-11-10 19:27:53,14990.0,8.0,1.0,3.0,0.0,16.5,0.5,16.5,18.0,4.0,49.0,10.5,7.0,0.0,17.0,6.0
2004-12-21 21:54:33,15503.0,8.0,1.0,3.0,0.0,17.0,1.0,17.0,20.0,4.0,52.0,11.0,8.0,0.0,16.0,6.0
2005-01-27 07:15:49,15587.0,8.0,1.0,3.0,0.0,17.0,1.0,20.0,20.0,4.0,52.0,9.0,8.0,0.0,16.0,6.0
2005-03-08 07:47:22,16198.0,8.0,1.0,3.0,0.0,29.0,1.0,21.0,22.0,4.0,52.0,9.0,8.0,0.0,16.0,6.0
