COMMIT_DATE,SQALE_INDEX,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
2014-07-23 18:17:17,57033.0,389.0,74.0,100.0,115.0,15.0,3.0,62.0,91.0,27.0,105.0,32.0,33.0,90.0,98.0,7.0
2014-08-24 05:42:45,57857.0,387.0,76.0,107.0,115.0,15.0,3.0,57.0,90.0,26.0,105.0,31.0,34.0,90.0,97.0,7.0
2014-09-28 17:15:05,57884.0,387.0,76.0,116.0,115.0,15.0,3.0,57.0,90.0,26.0,105.0,31.0,34.0,90.0,97.0,7.0
2014-10-28 17:15:05,58171.5,387.0,76.0,116.0,115.0,15.0,3.0,57.0,90.0,26.5,105.5,31.0,35.5,90.0,97.0,7.0
2014-12-20 14:29:07,58459.0,387.0,76.0,116.0,115.0,15.0,3.0,57.0,90.0,27.0,106.0,31.0,37.0,90.0,97.0,7.0
2015-02-06 05:17:31,58511.0,387.0,76.0,116.0,115.0,15.0,3.0,56.0,90.0,27.0,106.0,31.0,36.0,90.0,97.0,7.0
2015-03-08 22:07:59,58710.0,387.0,76.0,116.0,115.0,15.0,3.0,55.0,90.0,27.0,106.0,31.0,36.0,90.0,97.0,7.0
2015-04-09 18:16:37,59497.0,389.0,76.0,118.0,115.0,15.0,3.0,44.0,91.0,27.0,106.0,31.0,38.0,90.0,99.0,7.0
2015-05-14 05:10:01,59641.0,389.0,76.0,118.0,115.0,15.0,3.0,43.0,91.0,27.0,106.0,31.0,41.0,90.0,99.0,8.0
2015-06-27 00:03:30,57047.0,391.0,76.0,117.0,115.0,15.0,3.0,40.0,91.0,27.0,107.0,31.0,41.0,90.0,99.0,6.0
2015-07-27 00:03:30,58767.0,381.0,75.0,117.0,114.5,15.0,3.0,40.0,91.0,27.0,95.0,31.0,41.0,90.0,98.5,6.0
2015-09-06 18:02:42,60487.0,371.0,74.0,117.0,114.0,15.0,3.0,40.0,91.0,27.0,83.0,31.0,41.0,90.0,98.0,6.0
2015-10-18 17:00:41,60518.0,371.0,74.0,117.0,114.0,15.0,3.0,39.0,91.0,27.0,83.0,31.0,41.0,90.0,98.0,6.0
2015-11-21 21:18:10,60740.0,371.0,74.0,117.0,113.0,15.0,3.0,39.0,91.0,27.0,83.0,31.0,41.0,90.0,98.0,6.0
2015-12-21 21:18:10,60803.666666666664,371.0,74.0,117.0,113.0,15.0,3.0,38.0,91.0,27.0,83.66666666666667,31.0,41.0,90.0,98.0,6.0
2016-01-20 21:18:10,60867.333333333336,371.0,74.0,117.0,113.0,15.0,3.0,37.0,91.0,27.0,84.33333333333333,31.0,41.0,90.0,98.0,6.0
2016-03-02 06:46:43,60931.0,371.0,74.0,117.0,113.0,15.0,3.0,36.0,91.0,27.0,85.0,31.0,41.0,90.0,98.0,6.0
2016-04-01 06:46:43,61089.5,374.5,74.0,117.0,114.0,16.0,3.0,36.0,91.5,28.0,85.0,31.0,41.0,90.0,98.5,7.5
2016-05-02 16:15:28,61248.0,378.0,74.0,117.0,115.0,17.0,3.0,36.0,92.0,29.0,85.0,31.0,41.0,90.0,99.0,9.0
2016-06-15 17:11:39,61694.0,377.0,74.0,117.0,115.0,17.0,3.0,33.0,91.0,29.0,85.0,31.0,41.0,90.0,99.0,9.0
2016-07-26 23:33:27,62536.0,377.0,75.0,117.0,115.0,17.0,3.0,37.0,93.0,29.0,87.0,31.0,41.0,90.0,99.0,9.0
2016-09-08 20:52:26,62776.0,375.0,77.0,119.0,115.0,19.0,3.0,32.0,93.0,29.0,93.0,31.0,41.0,89.0,99.0,10.0
2016-10-08 20:52:26,63433.0,375.0,77.0,119.0,115.0,19.0,3.0,32.0,93.0,29.0,93.0,31.0,41.0,89.0,99.0,10.0
2016-11-24 16:18:08,64090.0,375.0,77.0,119.0,115.0,19.0,3.0,32.0,93.0,29.0,93.0,31.0,41.0,89.0,99.0,10.0
