PROJECT,MAPE,MSE,MAE,RMSE
archiva,18.23027544432194,591988537.1142068,17350.04272069568,24330.81455920058
batik,21.70057113210998,1163451721.5468996,24370.729963329344,34109.40810900857
bcel,2.6135157676130243,10942546.76257358,1442.4851341562814,3307.95204961825
beanutils,1.82018315032263,3699689.987355467,1023.4486891345073,1923.457820529337
cayenne,3.198078149180106,59750504.47741618,7011.7735918669,7729.845048732619
cocoon,9.161230257955118,952045223.8956022,25274.480784263393,30855.230089817873
codec,1.1749661076581503,60055.69400786275,193.56129129367412,245.06263282651386
collections,1.157085849309758,698742.9500614163,604.8922745368425,835.9084579434618
commons-cli,18.859436098273886,2171293.8046679473,1442.1881769437844,1473.531066746795
commons-exec,0.9735969471327759,2917.7697252741214,51.197753467344704,54.016383859659854
commons-fileupload,5.566300492273438,293827.8644296599,313.32629851847577,542.058912323799
commons-io,7.780182285368708,11660352.968421629,2747.621047263771,3414.7258994568847
commons-jelly,6.666847711007243,8182085.603700461,2853.688644059082,2860.4345130942015
commons-jexl,6.142145542340447,1616373.3309861429,905.6754327522134,1271.3667177436032
configuration,3.687814731873474,4234957.035076214,1585.8019269704096,2057.9011237365644
daemon,2.022002557493251,6786.029603392214,81.30851943817134,82.37736098827283
dbcp,5.1730997144897,829782.1988129109,744.6901548300739,910.9238161410157
dbutils,0.8540764514783786,3914.7666197567146,57.149464451582496,62.56809586168269
digester,1.2368896709241457,137772.88863888168,329.25484082724046,371.17770493239715
felix,1.573857147923554,24168621.96738526,3569.227827407378,4916.159269936772
hive,6.244245979579293,2186474385.147719,37635.911352525196,46759.75176524913
httpclient,3.0790948174586825,8044189.557079259,1912.3610516498516,2836.228050964742
httpcore,3.8809450009239472,22532077.704418905,2825.1186546571553,4746.796572891965
jxpath,3.202165377016613,1208948.0971380984,941.8820526244205,1099.5217583741116
net,1.6154086663622755,262959.0310059402,473.45399984101573,512.7953110217958
ognl,2.89881391674598,623926.1690699962,786.3202803403499,789.8899727620272
santuario,4.307863039105062,59759645.803796716,5198.100260055833,7730.436326870348
thrift,5.758007134057485,1467296.7675044576,1193.268837581875,1211.3202580261166
validator,3.9444508942545426,680365.6152320647,646.8768467474822,824.8427821300643
vfs,1.732586049849949,297282.4234517799,460.2322386370837,545.236117156393
zookeeper,1.1780725524867595,623203.6152233249,745.3092608813153,789.4324640039355
