PROJECT,MAPE,MSE,MAE,RMSE
archiva,23.28564715250712,633427227.6268452,24272.930794856504,25167.98020554779
batik,9.097190695368383,453490200.3391569,10519.996464333004,21295.309350632993
bcel,1.4743599269853258,1175625.5569361397,829.6040727569093,1084.2626789372305
beanutils,5.572030501326833,25673633.004347242,3046.833170033215,5066.915531597822
cayenne,1.0682955519875723,8071728.761085688,2343.4394494223575,2841.0788023364803
cocoon,5.787135156100869,505360190.311238,16085.717174000152,22480.21775497822
codec,2.0856382701746825,157687.48054489438,341.3951236811699,397.0988296946925
collections,2.7510914858744306,2921511.926819539,1399.3082983848487,1709.2430859358592
commons-cli,28.30414297306003,5148622.03410329,1551.3981948937137,2269.057521109434
commons-exec,6.89667478045124,181716.31317968355,355.25219353852316,426.2819644081644
commons-fileupload,9.801045742977049,386360.14143228077,563.6604784503578,621.5787491800864
commons-io,2.4772134395251344,2656670.9356763717,738.9442726631951,1629.9297333555123
commons-jelly,28.15501762971281,139157919.82967633,10628.460620879107,11796.521513975054
commons-jexl,11.315563203299032,4813006.583310201,1714.034231065946,2193.856554861826
configuration,4.4332773403291155,8081972.1865306385,1783.7626503233473,2842.8809659446943
daemon,6.960581924180502,102176.13462415653,282.0667973985074,319.6500189647367
dbcp,4.215023634156954,798454.5276254825,616.6452733864309,893.5628280235713
dbutils,2.7197872698841423,69232.0804021434,196.35299112391428,263.1198973892765
digester,31.633665038394522,97561505.79907344,7788.72905448467,9877.322805248063
felix,0.6968620423748593,3675403.1257911655,1688.5182483794767,1917.1340917607108
hive,4.503278396070652,1432036429.6331627,29942.61781718048,37842.25719527262
httpclient,2.2006635375409234,4914289.625429675,1527.0052432444897,2216.8197097260017
httpcore,6.44310689177657,30749491.467943266,4920.799280079651,5545.222400223752
jxpath,3.1539664348200596,1878585.3771451968,900.1242628333764,1370.6149631261133
net,2.2016406963399477,515300.91141980386,611.5268919661152,717.8446290248356
ognl,1.8707803078716678,279467.26209727913,494.1574050835435,528.6466325413217
santuario,3.8914328201654005,64733200.76907818,4542.577070453927,8045.694548581756
thrift,3.9768152368775316,926810.8950839192,821.4883569090532,962.7101822895191
validator,3.1189704063361963,436466.5890806641,495.4750130350169,660.6561806875526
vfs,2.187359901647239,529607.9330172591,574.0428767446289,727.7416664017934
zookeeper,0.938794761744785,514540.1125345012,592.6744530254649,717.3145143760171
