PROJECT,MAPE,MSE,MAE,RMSE
archiva,16.35209745223449,584360876.5837973,16011.570391338659,24173.55738371573
batik,19.000681514548337,961056590.6640549,21166.005404393756,31000.912739209063
bcel,3.362204986241996,28121011.38517051,1876.9574920089651,5302.92479535308
beanutils,1.9405078586043463,4303540.176499678,1090.183032836157,2074.4975720640596
cayenne,2.6380313160354802,75765392.2867667,5740.0707059877295,8704.33181161924
cocoon,6.047319973212615,578373336.8287992,16870.332119042036,24049.393689421762
codec,1.0225870923167835,53041.84734043404,170.44289783636563,230.30815734670372
collections,1.2494807455156745,758137.3773972759,651.0841023934022,870.7108460317213
commons-cli,19.051279226164443,2211681.1902503395,1456.18888758259,1487.1722127078422
commons-exec,1.0666113573884524,3474.7472965183388,56.172381793645656,58.946987170832905
commons-fileupload,5.2056209923774395,439349.7643982625,291.79539930469303,662.83464332989
commons-io,7.24264575014681,11090245.567277588,2592.5780648506875,3330.2020310001594
commons-jelly,7.344223835958413,9928214.803556891,3143.637529768467,3150.906981101932
commons-jexl,6.597147327094942,1876948.7013994206,958.643573342362,1370.0177741180662
configuration,3.174234497968066,3704874.26598541,1375.8688346580527,1924.8049942748512
daemon,2.018632961175376,6761.943264153324,81.17266599669985,82.23103589371426
dbcp,3.28552348693216,435777.6898051313,476.7063724538086,660.1345997636628
dbutils,0.6487947657590705,2278.9733234780642,43.462101032151516,47.738593647886866
digester,0.3789715077653651,16540.35530355649,101.09995927280364,128.6093126626392
felix,1.7392532439851214,22445155.443595883,4083.1598440293246,4737.631839178292
hive,5.991243990616104,2097274612.2663004,36442.74506820743,45796.01087721834
httpclient,2.571056564313676,5460536.077221084,1591.0016888606824,2336.778996229871
httpcore,4.163637322934894,21036981.17748384,3038.100031783344,4586.608897375472
jxpath,3.332938760073368,1295009.8575595866,979.4550110672096,1137.984998828889
net,1.903254239999816,332429.8595087968,558.7221996992683,576.56730700656
ognl,2.8714642245906035,611818.9032261345,778.8895730014777,782.1885343228539
santuario,4.559640523028716,64871557.136365436,5500.032622063621,8054.288121017613
thrift,6.677279190312263,2012686.9415056426,1386.1798583444784,1418.6919826042729
validator,3.753358002266384,620157.8649184735,616.0239896437845,787.5010253443951
vfs,1.3309978838688172,242647.71491149545,357.8422526637546,492.592849025943
zookeeper,31.292215104658172,3476452396.393945,19451.12920857779,58961.44839124922
