PROJECT,MAPE,MSE,MAE,RMSE
archiva,22.50623509376346,593027043.3843712,23423.473492017252,24352.146586787192
batik,9.062812606776948,451410458.14286673,10474.374801939188,21246.422243353507
bcel,1.190754759210732,926702.5063979167,666.3105594166657,962.6538871255425
beanutils,5.5401456554422674,23646881.756016366,3024.2167795950672,4862.805955003383
cayenne,1.0677775776368073,8045967.040550577,2342.427974469159,2836.5413870681627
cocoon,5.566400724483767,476094753.13446826,15473.033393308266,21819.595622615656
codec,2.1094921225976497,152677.6833529333,345.86140454943325,390.7399177879492
collections,2.6897826155291527,2789184.1917279838,1365.7118359203323,1670.0850851761966
commons-cli,30.761374841523985,5639722.020107023,1679.3654161063039,2374.809891361206
commons-exec,4.849303817743595,133918.5358791862,248.91466908826857,365.94881592811066
commons-fileupload,9.74929095457883,377451.9583620417,560.4131017531654,614.3711893977791
commons-io,2.5521728800552648,2689843.468366469,758.4887374638334,1640.0742264807616
commons-jelly,27.522746034467886,135949015.01179424,10396.62031044022,11659.71762144325
commons-jexl,11.79345393740134,5119548.824103488,1782.6553388036473,2262.6420008705504
configuration,4.268151905352157,7440022.8873438,1717.4452392955245,2727.640534847618
daemon,3.9928901013814264,28888.88449935782,158.97921404430244,169.967304206891
dbcp,4.12311321983543,777279.4814682142,603.4087036732584,881.6345509723483
dbutils,2.396898567671986,59068.8113207316,174.18572122600654,243.04076061585144
digester,29.390925366186565,86883543.29512478,7220.309878744148,9321.134227931963
felix,0.7415130273370091,4505008.460978584,1789.1966521524641,2122.500520842948
hive,4.49870432634815,1419196909.7043438,29902.384086742033,37672.229953964015
httpclient,2.2461355440962647,4975818.082953122,1563.2590942054076,2230.654182734994
httpcore,5.748897159776586,24353740.85388902,4375.397665791895,4934.950947465336
jxpath,2.9146390089772267,1742733.6146472055,832.0314024910655,1320.1263631361983
net,2.1842075442231295,504076.1394940313,606.6009689861795,709.9831966279422
ognl,6.517733282375134,25724672.922818888,1716.766555752796,5071.949617535538
santuario,3.9397262662246795,66674513.60505107,4599.014178828473,8165.4463200152795
thrift,1.8007086563906876,213699.31224958698,368.27767177719556,462.27622937978
validator,3.1335527047049103,431563.53982154466,496.73788351058494,656.9349585929681
vfs,2.104979535948688,469876.90452710557,548.9023710448074,685.4756775605576
zookeeper,0.8966665384840353,479694.80037130316,566.3632311461412,692.6000291447461
