PROJECT,MAPE,MSE,MAE,RMSE
archiva,16.92302619795448,363826918.10852623,15552.308569912359,19074.247510938047
batik,44.124236874681706,7250620774.504975,62384.24107959588,85150.57706501451
bcel,2.63524927025557,23914120.132300835,1448.6760300139806,4890.206553132581
beanutils,1.6789468117987618,3318788.948453568,944.1974869510581,1821.7543600753554
cayenne,8.635300627609734,474272570.86163425,19141.977073527476,21777.799954578382
cocoon,13.045460258010266,2028434774.3638294,36536.52122706163,45038.14798994103
codec,1.1402691526632827,54139.45685197655,188.15172694241875,232.6788706607812
collections,0.8704035170663591,375311.2492876183,435.00717674786904,612.6265169641438
commons-cli,14.304948544304425,1249183.0638222005,1100.8098391011758,1117.6685840723092
commons-exec,3.161468889602506,35525.00189699413,168.84019086110897,188.48077328203567
commons-fileupload,5.599909771258024,175584.74118938908,309.7611426589574,419.0283298171963
commons-io,7.862203097646354,12513338.93724534,2822.6737774477447,3537.419813542823
commons-jelly,7.9681661488398445,11926168.913276812,3410.621149878484,3453.4285736463135
commons-jexl,9.724080928356567,3419511.795835687,1418.1388969325267,1849.1922008908882
configuration,3.2280816548957647,3566066.9647678407,1386.5252500305214,1888.4032844622573
daemon,2.0296329898113776,6840.728775075587,81.61422419127355,82.70869830359796
dbcp,4.536611854044456,832921.4046578924,667.3823903837131,912.6452786586322
dbutils,0.7391033417080445,3527.0591034769986,49.47370589007851,59.38904868304424
digester,0.32174422506723893,10055.509831596062,85.24988716531516,100.27716505563997
felix,1.2045554243172722,12966273.484067721,2851.585942730877,3600.871211813569
hive,5.767201578821399,2618115934.240137,36689.754975093376,51167.52812321636
httpclient,2.320777598190857,4647318.459027541,1449.3670840160762,2155.764008194668
httpcore,5.750286474062422,47451176.28254327,4171.783406859641,6888.481420642961
jxpath,3.699947981850723,1574100.199449176,1088.3125249083125,1254.6314994647537
net,1.865926039775942,328809.94396168226,548.6296645927663,573.4195182950108
ognl,2.9134798090940275,630196.5309659955,790.4937470086974,793.8491865373394
santuario,6.201307093929984,128014437.30144405,7461.30281076939,11314.346525603856
thrift,9.757338158585505,4931690.671822576,2025.0769857436817,2220.741018629272
validator,3.7748604982721456,697404.1061093336,612.2663396652359,835.1072422804951
vfs,1.406275269482911,272596.97737330775,380.0749445187071,522.1082046600185
zookeeper,19.900401121652695,558117261.6233804,12312.978207118558,23624.505531828185
