PROJECT,MAPE,MSE,MAE,RMSE
archiva,2.164636438478005,17321469.0515952,2364.9941152510823,4161.906900880316
batik,1.3407430308877046,61550858.23831567,1671.2337107396218,7845.435503419531
bcel,0.7703392322175133,645661.4846322226,429.0207456336789,803.530637021528
beanutils,1.0176356227894938,957721.4324454011,558.5728077819591,978.6324296922727
cayenne,0.3271486161710774,2718768.3189127403,712.8673809523691,1648.868799787521
cocoon,0.5589534853807077,48016008.4758373,1292.7238026359378,6929.358446193796
codec,0.5077971820232977,27403.71228719733,84.33137681159204,165.5406665662469
collections,0.631969799527147,479538.042003444,313.53631278538865,692.4868533072985
commons-cli,11.977093031406588,4169767.3670473224,717.3586860130596,2042.0008244482474
commons-exec,3.1725670880730354,72609.65316055555,160.79716666666633,269.46178423026066
commons-fileupload,1.9742917314658683,41341.368845061756,112.11537037037058,203.3257702433751
commons-io,0.8774031351179457,1587870.781428371,291.75204641350126,1260.107448366357
commons-jelly,11.022471430308604,102885908.84049782,4399.812083121106,10143.269139705297
commons-jexl,1.317868648865842,135180.75796090622,196.35547142856996,367.66935956223796
configuration,0.670524110545593,292452.520662749,272.98904607567175,540.7887948753645
daemon,3.2319587912129815,23981.218590561253,130.3184523809532,154.8587052463027
dbcp,2.6430628505746823,924320.6504003449,389.16827380952515,961.4159611741137
dbutils,2.359382607231344,93567.62333418812,175.3510256410267,305.8882530176471
digester,8.118018373711916,30848695.87963732,1980.7845831582633,5554.160231721562
felix,0.12789968249766795,1540954.719657633,324.5296207258941,1241.3519725112749
hive,0.7156105906759763,134504677.81462112,4784.614440277777,11597.615177898477
httpclient,0.6492261816365469,1727089.3140441538,447.19511574074016,1314.1877012223763
httpcore,1.066841440964111,3355454.6696579754,817.3669249630913,1831.7900178945117
jxpath,1.4591496092627483,912578.5987767982,416.45133285233703,955.2897983213252
net,0.5341106724681777,52282.63316535141,150.804080384449,228.65395943510669
ognl,0.6914379085365643,147335.61946428585,185.09642857143186,383.8432225066451
santuario,0.49078507594415566,1468090.525083497,560.326282615383,1211.6478552300157
thrift,0.7715965750959299,54289.05216907755,157.6110216411935,233.0001119507833
validator,0.7286556534463241,50830.67323641855,118.59384992785036,225.4565883633001
vfs,1.448855272811092,413554.7851696797,375.81897790628767,643.082253813367
zookeeper,0.5623882657963405,269977.9143518586,356.4583333333333,519.5939899112177
