PROJECT,MAPE,MSE,MAE,RMSE
archiva,7.474174706907732,218441741.07273844,7797.113846153845,14779.774730107982
batik,19.380074492111085,1132081049.888025,22419.827499999996,33646.412139900225
bcel,1.671605646408271,1645729.4812526254,920.9551857142867,1282.8598837178695
beanutils,0.19789521576014782,50169.8490406499,113.15510366826665,223.9862697592196
cayenne,1.514572137604328,12492914.77416668,3337.783333333335,3534.531761657643
cocoon,6.097631490184189,678426227.6188887,16551.148888888885,26046.61643321237
codec,0.4229108113123529,26813.868553567412,69.62127224627268,163.74940779608156
collections,0.8881651441166009,1003772.1746309135,446.5827419354856,1001.8843119996009
commons-cli,1.1059786198064467,8788.475042592678,84.34846634615374,93.74686684147197
commons-exec,0.34234122865300703,364.72935191020724,18.138486312400143,19.097888676767578
commons-fileupload,1.5399486650073462,12011.488335947433,82.19974825549785,109.59693579634165
commons-io,4.752341483617005,6717161.707325781,1783.71484375,2591.748773960505
commons-jelly,5.411326124914438,96596737.64340165,2321.8367082035193,9828.36393523366
commons-jexl,1.4953399028808305,162572.98275653308,221.6110774410775,403.2034012214345
configuration,0.8351469361070807,628319.6475699866,356.0044471811732,792.6661640123077
daemon,2.0222254752011266,6792.17388888887,81.31666666666659,82.41464608240983
dbcp,2.0304173833389507,481980.3750614974,297.1650326797385,694.2480644996408
dbutils,0.21926915886218637,653.9364420683679,14.657962454212303,25.57218101899734
digester,0.29017417488024405,43037.52301311758,75.84166666666857,207.45486982261366
felix,4.145147822946448,170609166.94086665,10234.777777777774,13061.744406505077
hive,5.1713916372345,1790802640.8728473,32650.49800000001,42317.87613849314
httpclient,2.096532284057208,17729402.482285876,1294.346739130435,4210.629701396915
httpcore,2.57780409640513,12229047.562165568,1952.2318508158523,3497.0055136023975
jxpath,0.21415646466915877,4983.231219631742,62.82661311571361,70.59200535210586
net,0.6305318923701363,63184.493163953615,188.00405705405822,251.36525846654627
ognl,2.898080282566397,623413.191102244,786.3111983525519,789.5651911667863
santuario,0.6644983756082014,2482025.214548629,795.7468750000025,1575.4444498453854
thrift,1.366769900767339,135392.09375,282.9375,367.95664656315154
validator,0.6377047585744593,32285.636664799338,105.84787059787172,179.68204324528185
vfs,0.6327885663245497,101686.38464812087,171.16495098039184,318.883026591446
zookeeper,1.4351679502673553,913182.2504999988,903.7899999999994,955.605698235417
