PROJECT,MAPE,MSE,MAE,RMSE
archiva,17.9940829501187,611866696.3754014,17262.024218962917,24735.939367151623
batik,20.626864258446435,1103556315.8322592,22898.673297296904,33219.81811859088
bcel,1.566759120818217,1313872.5944280482,862.4935075219742,1146.2428165218957
beanutils,2.530580244866636,5713163.236211439,1425.9045969257422,2390.222424003975
cayenne,1.7354712581873513,19538676.352831922,3772.6215899529966,4420.257498475844
cocoon,9.139403776296556,1058036715.800734,25537.379327589188,32527.47632080814
codec,1.4244547730554418,75504.96645444325,233.13510586783033,274.7816705212399
collections,1.329553284133932,973543.7229379492,691.3585964835546,986.6831927918653
commons-cli,18.99270769427731,2179151.3693711543,1455.9998067248332,1476.1948954562722
commons-exec,0.9890437657044088,3184.2785734653175,52.20459692835221,56.42941230834606
commons-fileupload,18.274474753149434,12494509.02143784,1019.1868196402058,3534.757278999202
commons-io,7.615224267994557,12298012.121472716,2735.147485951754,3506.852167039939
commons-jelly,4.374624009840209,3575156.845535405,1872.4125971188687,1890.808516358916
commons-jexl,5.333023070143121,877835.0403187845,740.1951308075061,936.9285139853438
configuration,3.4506646234771408,3977956.148155399,1488.7519937899394,1994.4814233668358
daemon,1.9251983948073308,6181.237128765395,77.42273784515972,78.6208441112495
dbcp,3.712323252269641,499396.3164036702,533.522535351236,706.6797834972147
dbutils,0.863521747954394,3894.4874637272746,57.77135641543887,62.40582876404475
digester,1.2699787870376154,148797.87073650316,338.03907810453177,385.7432705006053
felix,1.942567040466363,34426539.0091857,4518.156642468468,5867.413315012477
hive,6.444243276156637,2449781743.703736,38606.00361582991,49495.269912424315
httpclient,3.2194060229920893,8532360.585814089,2005.0680148695753,2921.020469940957
httpcore,4.7137958358850245,30764536.60802922,3467.4334797322654,5546.578820140323
jxpath,2.983905110110042,1068456.1448467788,879.4770389410392,1033.6615233463897
net,1.559432658203368,251617.61845565596,457.1428267199509,501.61501019771725
ognl,2.8734508285561575,612862.6394125669,779.4345029171075,782.855439664672
santuario,3.7626861568521575,46379180.154823765,4537.834688882376,6810.22614564478
thrift,3.853374775953182,726358.3331306801,796.1042421050828,852.2665857175676
validator,4.029639819545743,719970.50928888,660.3108883916698,848.5107596777309
vfs,1.2466926985500009,239995.65915904453,337.3965942360355,489.89351818435455
zookeeper,2.001038763090158,2072825.5728944703,1263.7696320612558,1439.7310765884267
