PROJECT,MAPE,MSE,MAE,RMSE
archiva,25.75691730291087,769907311.1222067,26895.674966605973,27747.20366311183
batik,9.590492859394187,483344776.1982723,11196.349397503664,21985.1035066536
bcel,1.5467846766307487,1239381.6587121924,870.7725790475704,1113.2751945104105
beanutils,6.068407813495315,26105919.658687305,3326.2852755270396,5109.3952341434015
cayenne,1.077236510143088,7114089.422005094,2362.9332968491735,2667.225041500078
cocoon,6.0332253091724715,531653362.2882589,16682.990979188267,23057.609639515085
codec,2.0940262818711566,170416.7877175997,342.119076783725,412.81568249958684
collections,3.0486834999209003,3566706.6736360453,1554.373586432474,1888.572655111803
commons-cli,28.183116078665776,5222429.7754578255,1546.7065161141063,2285.2636118088926
commons-exec,5.788523767521737,143972.72898454912,298.69125620114056,379.43738480090377
commons-fileupload,10.015109298663315,400641.1814951877,575.7818989221473,632.9622275422031
commons-io,2.3664836860972494,2835737.3318235264,711.5001005857849,1683.964765612252
commons-jelly,29.332296065386664,145520653.19374222,11059.779682859144,12063.194153860835
commons-jexl,10.541567468725905,4495236.024251668,1605.346425314176,2120.197166362522
configuration,3.8829452923015193,6280122.192046306,1556.55800694045,2506.017197077128
daemon,6.897743180334881,98966.7493618388,279.3033377043128,314.5898112810375
dbcp,5.063156341944942,1041305.7074087509,743.0265567856173,1020.4438776379379
dbutils,2.4360648808714225,60740.55854858761,176.95225048327666,246.45599718527365
digester,35.37484182635557,118817098.17303367,8737.90302349934,10900.325599404527
felix,0.7077835719644403,4585129.030167596,1735.1765106327675,2141.291439801597
hive,4.239739801651156,1306506688.3733785,28169.633022385464,36145.63166377617
httpclient,2.0384243346074213,4717846.647176743,1403.7976887200357,2172.060461215742
httpcore,6.710502651180933,32829979.003126167,5141.954085818227,5729.7451080415585
jxpath,4.024317832074641,2502319.9278208925,1148.0283563764644,1581.8722855593912
net,1.9231067024958433,403022.33096113335,535.3992970114207,634.8403980223165
ognl,1264727281.632631,6.11794277815332e+23,335967396018.083,782172792812.0052
santuario,3.8149777874683295,58340602.07111739,4441.0407027121255,7638.101994024261
thrift,4.148435447053355,1041760.9704322491,857.3272986394645,1020.6669243353823
validator,2.5961436560173006,337068.7541288148,414.0169749411862,580.576225941792
vfs,2.23041992091399,569559.1778570111,586.3250615370421,754.691445464311
zookeeper,0.8950653442855052,473233.76916136855,565.2205033153501,687.9198857144403
