PROJECT,MAPE,MSE,MAE,RMSE
archiva,17.504878585055646,389533717.86491084,16118.350033700834,19736.608570494343
batik,26.553165254058076,1430223145.5052576,31062.763262450688,37818.29114998796
bcel,1.6695757352404181,1510100.1212262725,910.9359296392682,1228.8613108183822
beanutils,2.9077362260972137,7337031.240298353,1640.7522158931024,2708.695486816182
cayenne,2.3863871493688826,30511122.568689857,5274.821536839503,5523.687406858742
cocoon,10.709633052627217,1332440754.4127297,29905.142242622846,36502.61298061729
codec,3.093412750611602,304385.2358582682,506.95480453895146,551.7111888101131
collections,1.5721763758905518,994996.1521279697,795.3790120431551,997.4949383971679
commons-cli,16.203869936919997,1578682.5256741373,1236.8017838593983,1256.4563365569602
commons-exec,0.7237441741802096,1775.6667426306233,37.91506493889489,42.138660902200286
commons-fileupload,6.16177224866322,230379.6007683796,340.6816534821718,479.9787503300324
commons-io,7.612319464308737,12009771.03461773,2741.7114693927524,3465.5116555304976
commons-jelly,4.9371752101878466,4581560.985755712,2113.327516494868,2140.4581252049084
commons-jexl,8.099991300302085,2402676.732599454,1147.5895002671648,1550.0570094675402
configuration,3.650688924946885,4130760.419727098,1560.709034965443,2032.4272237221924
daemon,1.888646729474935,5974.712162302295,75.95727663177709,77.29626227898925
dbcp,7.953942378869898,2045385.2106049412,1141.2690811502432,1430.1696439950547
dbutils,0.903047629856458,4383.9823522550805,60.41265310989831,66.21164816144574
digester,0.9923478002101712,92108.93456526885,264.0521939351054,303.4945379496456
felix,1.7389045774597724,21658115.40356893,4075.0069461123526,4653.828037601833
hive,7.4149935754228204,3615664738.8659925,46089.8130941454,60130.39779401091
httpclient,3.449878751968178,11598262.01607968,2154.630152539787,3405.6221188029185
httpcore,5.389288868469126,48257456.29327095,3893.121065929894,6946.758689725083
jxpath,3.1020853110890165,1123019.4025071207,914.7482521772943,1059.7260978701622
net,0.9430116955513725,106754.084069098,277.4954621103396,326.7324349817416
ognl,2.926252135528964,635636.0311563606,793.9561647846936,797.2678540844104
santuario,5.802338254758206,121015385.24143985,7001.5840472376085,11000.699306927712
thrift,9.820175233252563,4966596.197072703,2037.8443370389778,2228.586143067551
validator,3.4058655288858404,445013.462720438,556.023124224145,667.0932938655867
vfs,1.7100906931855908,483037.55450978625,466.8368565692781,695.0090319627409
zookeeper,1.725500547367239,1446225.2650335224,1086.391410289194,1202.5910630939857
