PROJECT,MAPE,MSE,MAE,RMSE
archiva,12.269049706647115,338759301.17506677,12148.847268450874,18405.414996002313
batik,24.788403451814077,1103865007.0207224,31711.390212367056,33224.463983948976
bcel,2.8515170834600747,3800727.8557563196,1580.979563486128,1949.5455510852573
beanutils,8.170223783272885,21519126.3395623,4618.8793788574885,4638.871235501401
cayenne,8.316305671577195,343241915.4525614,18275.122367042964,18526.78912959721
cocoon,29.777767787684635,6664321948.930823,78993.78848220815,81635.29842495109
codec,52.381002821275366,74598071.96469037,8615.687268549555,8637.017538750884
collections,5.4183153391692445,12156728.379095579,2884.9869673050566,3486.650022456452
commons-cli,13.253111159941215,1082662.9629249002,1025.88578432412,1040.5109143708682
commons-exec,26.36443141856459,1932460.035106349,1386.1109157890974,1390.1295029983173
commons-fileupload,12.753287760998308,553982.0596003633,712.8397580891871,744.299710869461
commons-io,47.6697982131163,274934909.79356927,16041.124991345572,16581.161292067853
commons-jelly,0.8886108119954975,145116.57664076207,380.39142314854314,380.94169716737764
commons-jexl,12.774080487244563,5643266.316570169,1687.5223675982961,2375.556001564722
configuration,27.369892918038936,133883362.92179441,11399.689646342225,11570.79785156557
daemon,30.14502955807105,1469338.3764905175,1210.4942121789504,1212.1626856534224
dbcp,3.9679608085574185,438079.1906096172,578.6661317228314,661.8755099031971
dbutils,39.053835227883724,6844759.007598519,2615.9157744805916,2616.2490339412493
digester,16.421362292283025,19101299.207894497,4349.966434159058,4370.503312879936
felix,60.58043292755584,20291534150.421314,141870.16249657352,142448.35608184923
hive,64.50188476423693,151624460547.66684,386739.9534387465,389389.8567601201
httpclient,18.16218369206815,269150913.5350045,12489.485037443214,16405.819502085364
httpcore,39.91161826777629,839057480.463636,28913.600615899217,28966.48892191865
jxpath,2.992270717645487,1361374.091362885,888.9345188806788,1166.779367045409
net,19.674794926507833,33546111.27482399,5771.473815445569,5791.90048902983
ognl,3.192542618617819,753860.8574861481,865.9072580634322,868.2516095499899
santuario,37.37920379223924,2007843792.268671,44702.54644213865,44808.96999785502
thrift,9.434277027444818,3885270.016788924,1955.901530620155,1971.108829260557
validator,10.239207859148667,3109527.0343016973,1667.7625244000883,1763.3851066348773
vfs,8.599597520721074,5983950.629305273,2281.4842038526454,2446.2114849916948
zookeeper,5.571785308308259,12567463.763112694,3525.382289962781,3545.061884243023
