PROJECT,MAPE,MSE,MAE,RMSE
archiva,23.52218269584316,825236881.7769793,25990.39236225911,28726.936519179682
batik,25.12985601941995,1763830624.2281663,40975.006743370395,41997.9835733594
bcel,3.1530619047178536,4193221.419071736,1793.338003753427,2047.7356809587843
beanutils,27.415652609883757,225705654.35726997,14956.164422872089,15023.503398251354
cayenne,4.922530978651226,121224047.50089017,10845.230742149746,11010.179267427491
cocoon,29.351786665817336,6428254246.381505,76302.82120563123,80176.39457085548
codec,41.321568708828096,46638834.59223932,6783.640195521302,6829.263107557017
collections,6.7340695834620785,20509699.825030074,3537.893151219591,4528.763608870535
commons-cli,28.1473387061475,3707068.248925095,1547.7897159193883,1925.3748333571557
commons-exec,33.85243355756783,3086125.25658839,1749.9480133645247,1756.7371051436212
commons-fileupload,34.52068886929016,4115095.1970820883,1980.3365065759183,2028.5697417348235
commons-io,50.22528772734901,195702809.6664043,13903.488135170814,13989.382033042213
commons-jelly,34.91055657439099,167341382.7931403,12895.358299490648,12936.049736806839
commons-jexl,20.98259198886722,10882938.91318422,3224.56390781955,3298.929964880161
configuration,24.751223199849,95417945.52809285,9684.618101342661,9768.21096865198
daemon,29.60177589781372,1378346.282454446,1171.7304368325867,1174.0299325206518
dbcp,8.278098855386915,2109118.4154980187,1233.2408740621847,1452.2804190300228
dbutils,40.279561543647795,7997316.511854511,2796.3489680952525,2827.9527067924087
digester,52.2863659462996,202389849.56567696,12527.09587230811,14226.378652548123
felix,58.9119757508288,21127804336.51446,144682.2381757377,145354.065428231
hive,29.20541081161867,37376859618.6503,192798.72066347967,193330.95876928326
httpclient,36.94844175037393,1005193139.250804,29101.039919218598,31704.781015657623
httpcore,62.08998235180878,2262838866.832733,47476.15544938922,47569.30593179527
jxpath,5.505026623177002,3528933.607172306,1644.8102395439355,1878.545609553387
net,17.321127302649863,24439324.695396133,4878.550337794058,4943.614537501497
ognl,1.992946977084756,470720.79998565296,526.6622764785435,686.0909560587816
santuario,43.498567626246505,2470118809.5461874,49095.43457266495,49700.28983362358
thrift,27.61022531709447,31265225.865028627,5588.709583122282,5591.531620676809
validator,40.2223038954494,39967156.67688933,6271.2656213300115,6321.958294459821
vfs,27.30542316732207,49290153.065899976,6974.414012993566,7020.694628446674
zookeeper,4.651253616736476,8784124.901870014,2926.583259617111,2963.802439750331
