PROJECT,MAPE,MSE,MAE,RMSE
archiva,13.342303466148042,358714947.86114734,13281.106033022807,18939.7715894661
batik,25.96950055288334,1137931700.1956196,32818.95677912567,33733.243250473555
bcel,2.463915982934821,3060191.9457076304,1360.636652925131,1749.3404316220528
beanutils,8.184149595415429,21586043.682658732,4627.373981255717,4646.0783121530285
cayenne,8.916096026786601,388001955.5315957,19695.878433792455,19697.765242067326
cocoon,29.57268711928116,6573265395.385851,78793.38846837445,81075.67696532574
codec,53.9618396243838,79107573.53954965,8871.989258678,8894.243843045324
collections,5.478008818281148,12141210.831166856,2896.50320213198,3484.424031481653
commons-cli,14.225969926860305,1246081.7167101006,1097.3507464733188,1116.2803038261047
commons-exec,25.779004460450434,1865995.8105848404,1360.3533250370344,1366.0145718786605
commons-fileupload,12.006703592312082,478991.56656714214,664.9994564459193,692.0921662373748
commons-io,48.4308489724839,285410696.497066,16350.268534084193,16894.10241762095
commons-jelly,0.9824903715744777,177274.0621252397,420.6481988485385,421.03926435101005
commons-jexl,10.920561041430366,3405397.9185638265,1513.5378137446112,1845.3720271435313
configuration,27.456142941519268,133291154.19525938,11373.889966474533,11545.178829072305
daemon,33.657452489484704,1829139.4537587431,1351.6264898980687,1352.4568214027179
dbcp,4.600677020900543,530195.8100715186,671.8111284509785,728.1454594183216
dbutils,39.61512696841896,7042814.914567558,2653.5876943632707,2653.8302346924074
digester,16.63714339422203,19564239.836582705,4403.771973314784,4423.148181621627
felix,61.36050395206601,21635629946.03096,146020.64654480867,147090.5501588425
hive,64.71826467510662,153918527458.8306,389357.4893475715,392324.5180444763
httpclient,18.270618507541858,334393371.2619881,13289.014890939461,18286.42587445639
httpcore,40.25547631162302,860769539.3064022,29271.752855225237,29338.874199709884
jxpath,3.220206084604529,1517610.7872251798,957.2199478131871,1231.913465802359
net,20.5297809135114,36462401.25242192,6022.143722765216,6038.410490553116
ognl,3.1818432806887342,750544.1930339317,863.273725064671,866.3395368064023
santuario,37.83495619526827,2044134990.1598878,45086.30868199078,45212.11110045502
thrift,10.349278295596456,4610864.54171308,2131.502786915763,2147.292374529626
validator,11.264897975153634,3597370.154764415,1829.6836205367545,1896.6734444190479
vfs,8.392574721963683,5961931.676628987,2234.06545007772,2441.7067138845705
zookeeper,4.837550871160626,9526278.68766772,3048.617751189704,3086.4670235833914
