PROJECT,MAPE,MSE,MAE,RMSE
archiva,3.891001377868228,27568198.817139175,3451.596064814815,5250.542716437909
batik,5.4933715158455865,230230538.97332084,6253.052083333333,15173.349629311282
bcel,0.8266184281264846,686567.9262189133,451.2195246571729,828.5939453187631
beanutils,0.14567264068872254,28173.38202254602,83.05678177521006,167.8492836521682
cayenne,1.2186420395095947,8514423.709019253,2661.1808035714284,2917.9485446147355
cocoon,3.3959676211972067,406437011.31276983,9414.028782894737,20160.28301668332
codec,0.31526482844696313,10139.146345357076,52.74287510702055,100.69332820677384
collections,0.4781407813864881,332086.6639498419,249.97103900935358,576.2696104687822
commons-cli,2.362162121995,37545.99892449257,181.8397472403987,193.76789962347368
commons-exec,0.16190123179129762,82.63422408761211,8.561875640368882,9.090336852263073
commons-fileupload,8.139473983379084,245945.15760577278,456.94537036783396,495.9285811543561
commons-io,4.34140849136794,5741487.032022122,1629.4235297309026,2396.140027632384
commons-jelly,80.29839554149216,1185537209.29559,34375.599701445615,34431.630941557065
commons-jexl,1.998766558237321,170050.7413310626,287.4963752815315,412.37209087311254
configuration,0.5873326989550081,307615.8837147776,249.2631656364465,554.6313043047404
daemon,2.0061739682113675,6680.912640197585,80.67219223210844,81.7368499527452
dbcp,1.5174965351004335,224862.18606446017,216.62352070262224,474.1963581307433
dbutils,0.23500004430138913,759.6667960260564,15.729428045463887,27.562053552412536
digester,0.7428825766785594,54206.10212011246,195.19792452439668,232.82203959271652
felix,2.1346868697764223,52857321.8605957,5009.5,7270.304110599205
hive,5.382434812613044,2042564261.7235067,33509.59173387097,45194.73710205102
httpclient,2.2232000351303696,14448831.038837148,1378.1006218112248,3801.1618011914657
httpcore,1.4819437487928597,4708043.607234231,1119.7168294126861,2169.802665505375
jxpath,0.21002973294401522,6498.278507595971,61.07710193452381,80.61190053333299
net,0.5655446422861445,51439.97453226637,168.71142187499993,226.80382389251372
ognl,2.8666020871836477,609730.1708685717,777.57013029915,780.8522080833042
santuario,0.457411553704114,916081.1633454267,548.271368243243,957.1212897775426
thrift,0.8385517613587641,57444.87184580754,174.11955180921052,239.67659845259723
validator,0.471208912879454,21799.489916663963,78.69737413194444,147.64650323209136
vfs,0.46215822736303336,42952.756467839965,123.15601089015152,207.2504679556598
zookeeper,0.9207692170247115,368226.0004330442,582.682421875,606.8162822741692
