PROJECT,MAPE,MSE,MAE,RMSE
archiva,1.459017108136028,7038115.187899724,1499.9983464340492,2652.94462586382
batik,0.9970689113562452,34255142.56370739,1306.9698720079787,5852.789297737224
bcel,0.7512258098568558,643973.7202869284,417.82718211206895,802.4797320100541
beanutils,1.5859912230894102,1957489.6669743464,862.1039663461538,1399.1031652363404
cayenne,0.32639135751394677,2068736.5241905535,710.6819982394367,1438.3103017744654
cocoon,0.6843396035447505,26409246.836583257,1779.9157196969697,5138.992784250942
codec,0.5842634714643096,31863.968657452126,97.06058933423913,178.50481410161498
collections,0.7829006022379688,351693.0166465028,390.20082405821915,593.0371123686128
commons-cli,7.09359739773069,2029498.5080516052,513.4283091227213,1424.6046848342194
commons-exec,3.585548368484294,83532.6823244363,182.21995849609374,289.0202109272573
commons-fileupload,1.2441108401646521,11061.093709190687,71.36395941840277,105.17173436428006
commons-io,0.9675483087944544,1606787.726785201,315.9099090189873,1267.5913090524095
commons-jelly,7.597099841729668,72236289.88413264,3004.837162140877,8499.193484333242
commons-jexl,1.7533594130672279,408334.11124980106,276.02719029017857,639.0102591115428
configuration,0.832039498751376,339240.9450336531,336.5173100490196,582.4439415374266
daemon,3.2320148450734214,23981.808432171743,130.3206787109375,154.8606096855225
dbcp,1.8720989162056791,255428.25214160283,272.7119140625,505.3991018409143
dbutils,1.9082281593703307,79599.39841844485,140.39036207932693,282.13365346665904
digester,10.07937437754349,45372672.26952046,2486.2984188304226,6735.924010076157
felix,0.1917950295241277,2403711.054923149,488.0875,1550.3906136593928
hive,0.8213931673235528,89047088.75164062,5470.091666666666,9436.476500878949
httpclient,1.0943071105803626,2228865.775906796,775.9425998263889,1492.9386376897062
httpcore,1.0754768555625116,3206708.990909433,822.9984140037594,1790.7286201179209
jxpath,1.1875669084469656,638337.4567466736,339.76588541666666,798.96023477184
net,0.621458544034176,64289.292557427645,175.30148007454127,253.55333276734433
ognl,0.6633460256863899,136002.29754611425,177.57268415178572,368.78489332687457
santuario,1.9136091052300919,16526271.444646783,2199.94356215847,4065.251707415764
thrift,0.7268088551559115,42751.10827242095,147.7613146551724,206.76341134838376
validator,0.6501942289755063,49096.81856815338,106.766328125,221.57801914484517
vfs,1.573989180993974,374302.9756916401,409.45014989098837,611.8030530257594
zookeeper,0.8301967155459274,434982.6580937703,524.2916666666666,659.532150917429
