PROJECT,MAPE,MSE,MAE,RMSE
archiva,6.973203279830864,159138979.98224348,7148.6370192307695,12615.029923953549
batik,19.80210493087482,1063084942.8130035,22056.111328125,32604.983404581017
bcel,1.2108903253113499,972057.3773898087,663.8303571428576,985.9297020527421
beanutils,0.26783701820900535,54857.758869809826,152.22365306020717,234.21733255634567
cayenne,2.677486525879867,36507576.55485026,5917.729166666667,6042.149994401849
cocoon,6.087834608506171,764572168.077067,16892.494791666668,27650.898142322014
codec,0.5209631812086427,30599.60152412633,86.20909288194437,174.92741787417526
collections,0.7802828249262326,729842.6790298405,404.65830813172073,854.3083044368939
commons-cli,2.5173072779269536,39790.85955874197,191.17760174091052,199.47646367113583
commons-exec,0.3490670852457345,378.56836459455076,18.49507472826089,19.456833365030157
commons-fileupload,1.5606054972727623,12076.543208539171,83.26876395089286,109.89332649683134
commons-io,4.773313123039887,6719540.441008449,1791.3886108398438,2592.2076384827756
commons-jelly,80.51756776159009,1325568821.2703593,34483.32943792135,36408.36196906363
commons-jexl,2.488092970132911,228960.1220727336,367.146484375,478.49777645537034
configuration,0.9876750494149062,779648.8511398139,421.65041307471256,882.9772653584088
daemon,2.022238533483782,6792.2678244380595,81.31719324448522,82.4152159764085
dbcp,2.0657716230872025,400658.8956708518,301.5380476409314,632.9762204623897
dbutils,0.25850475467529443,655.6707143280224,17.2848495092147,25.60606792008532
digester,1.1469887430458017,145481.4786857186,300.82545572916723,381.4203438278019
felix,4.523339916715135,194577670.7486708,11045.373263888889,13949.110034287878
hive,6.727753673044541,3085646315.9930987,41745.71666666667,55548.594185569615
httpclient,1.6975809369619586,3655272.5903950566,1080.1224524456522,1911.876719455273
httpcore,2.3375629228181114,9631108.111410614,1764.0416165865386,3103.40266665649
jxpath,0.2870264981111774,9843.48494923449,83.77446546052565,99.2143384256252
net,0.6228986486341639,61555.05217352469,185.86948529411734,248.10290641893877
ognl,2.8985001411900866,623587.9927298689,786.4249326786635,789.6758782753016
santuario,0.8062009017440366,2830636.034387377,963.93505859375,1682.4494151050656
thrift,1.0578809422882052,65632.59111833572,217.906494140625,256.1885850664228
validator,0.6564179470745507,32726.460796942174,108.80218010979735,180.90456267585452
vfs,0.699761209465471,103310.50947065915,188.64769071691177,321.4195225412718
zookeeper,1.2319811073181415,667709.2759307862,776.51640625,817.1347966711405
