PROJECT,MAPE,MSE,MAE,RMSE,AIC,BIC
digester,0.65,38265.98,171.94,195.62,5931.2214835585,5987.652254300203
collections,10.3,32028499.99,4880.96,5659.37,4546.021277380091,4604.120665889233
commons-fileupload,12.79,451787.85,625.93,672.15,3108.634435215802,3147.3705053122867
jxpath,2.38,841357.84,677.49,917.26,5298.289322974883,5355.635011407128
commons-jelly,11.87,20807555.9,4538.21,4561.53,6266.524477153653,6322.813066736037
dbutils,1.54,13032.38,103.37,114.16,2411.3205319313656,2445.701325020598
cocoon,5.37,275040698.48,14495.99,16584.35,1444.1138267956171,1481.4055602401984
cayenne,,,,,,
hive,14.34,7557872854.94,75349.06,86936.03,2500.0516621534425,2545.046611839401
bcel,2.87,3809975.25,1612.8,1951.92,4211.91344233623,4268.202031918615
zookeeper,,,,,,
felix,6.0,244290063.63,14041.15,15629.78,1299.1851898617135,1335.1611137345033
beanutils,2.1,2205513.29,1156.93,1485.1,5979.927743285775,6037.4499043417145
commons-cli,53.3,7454460.61,2669.82,2730.29,5044.382788961128,5095.857342192884
commons-exec,3.09,41203.43,158.03,202.99,2804.195742689643,2849.55193312968
net,4.73,2208291.1,1322.07,1486.03,4439.039796410301,4498.246893584553
batik,16.25,582425853.83,23006.15,24133.5,622.4045337425079,647.2901027263384
ognl,11.41,9170270.98,2709.07,3028.25,2085.815938124016,2103.717577854265
santuario,9.82,185787426.79,13102.6,13630.39,5560.659506404257,5619.7592206251
daemon,2.65,11423.56,103.59,106.88,2866.62715458889,2892.3163210497537
commons-jexl,37.41,18106651.38,3960.49,4255.19,5070.593132090274,5129.530408367693
httpcore,40.38,2656860268.55,50453.71,51544.74,3703.327648456056,3758.1268487357584
thrift,,,,,,
configuration,6.07,9671561.99,2372.91,3109.91,4218.060326751809,4274.907680110555
commons-io,15.47,37166144.33,4502.66,6096.4,4243.138498147309,4301.801325157108
httpclient,23.8,455363015.08,20213.98,21339.24,3357.313770049262,3409.681762986282
archiva,84.56,1803182572.08,35458.77,42463.9,2324.6480233798998,2367.709589495565
validator,6.82,1535305.47,1026.32,1239.07,4826.764492398788,4883.567953119289
dbcp,5.27,681966.79,752.05,825.81,4111.538081713945,4163.108198456687
codec,9.88,2855059.1,1475.16,1689.69,3767.838179109544,3819.3127323413
vfs,4.62,2608559.93,1151.55,1615.1,4318.492423643598,4377.645919427685
