PROJECT,MAPE,MSE,MAE,RMSE,AIC,BIC
digester,,,,,,
collections,0.61,244650.0,309.55,494.62,5645.04,5695.12
commons-fileupload,,,,,,
jxpath,0.04,183.0,11.53,13.53,4797.09,4861.73
commons-jelly,,,,,,
dbutils,,,,,,
cocoon,1.84,159171551.57,4338.15,12616.32,1912.96,1940.82
cayenne,,,,,,
hive,2.11,273273157.07,12670.38,16530.98,3965.53,4001.81
bcel,0.72,3508628.43,449.86,1873.13,5424.8,5484.37
zookeeper,1.47,2007113.72,935.25,1416.73,370.22,378.17
felix,2.21,51235752.73,5330.76,7157.92,1661.82,1696.02
beanutils,,,,,,
commons-cli,0.84,6760.57,62.06,82.22,6114.98,6142.25
commons-exec,0.13,49.75,6.64,7.05,3256.01,3296.78
net,,,,,,
batik,,,,,,
ognl,0.0,0.0,0.0,0.0,637.95,669.88
santuario,0.41,689926.25,485.54,830.62,6385.74,6428.76
daemon,0.0,0.02,0.14,0.14,951.69,990.55
commons-jexl,2.16,1884940.79,373.68,1372.93,5937.14,5999.58
httpcore,0.95,2799180.46,722.81,1673.08,4639.25,4672.02
thrift,,,,,,
configuration,0.18,28967.65,73.44,170.2,4864.54,4890.94
commons-io,,,,,,
httpclient,1.83,8500333.7,1141.82,2915.53,4252.49,4287.37
archiva,3.42,27864924.99,3036.31,5278.72,2694.89,2723.87
validator,0.23,7503.79,36.85,86.62,4674.26,4718.3
dbcp,1.08,267859.75,166.94,517.55,5046.24,5097.01
codec,0.25,9209.59,42.08,95.97,4383.37,4422.32
vfs,3.09,400375326334.01,76149.54,632752.18,5208.98,5252.09
