PROJECT,MAPE,MSE,MAE,RMSE,AIC,BIC
digester,0.55,44665.99,146.37,211.34,3102.93,3150.66
collections,1.14,1052767.26,583.12,1026.04,2678.34,2717.74
commons-fileupload,0.76,6828.67,41.5,82.64,1393.25,1425.45
jxpath,,,,,,
commons-jelly,0.17,6492.51,73.71,80.58,2672.62,2714.13
dbutils,2.83,67019.71,187.45,258.88,1611.84,1646.07
cocoon,,,,,,
cayenne,,,,,,
hive,5.02,1574463376.0,29126.47,39679.51,1930.45,1950.94
bcel,0.49,193372.11,273.07,439.74,2345.16,2386.01
zookeeper,,,,,,
felix,,,,,,
beanutils,0.27,57282.31,154.21,239.34,3026.65,3068.73
commons-cli,1.15,12369.76,87.83,111.22,2688.14,2728.12
commons-exec,0.18,106.9,9.74,10.34,1523.06,1557.84
net,0.14,2877.61,41.92,53.64,2296.8,2324.86
batik,,,,,,
ognl,0.0,0.0,0.0,0.0,487.06,503.91
santuario,1.36,19633373.26,1734.22,4430.96,2960.3,2981.78
daemon,,,,,,
commons-jexl,1.03,99454.95,142.08,315.36,2256.64,2290.53
httpcore,2.07,7340688.24,1502.86,2709.37,2225.12,2242.28
thrift,,,,,,
configuration,0.51,174233.19,211.19,417.41,2357.71,2384.5
commons-io,0.77,116555.8,256.12,341.4,2250.43,2290.25
httpclient,3.76,16034025.77,2318.74,4004.25,2048.52,2078.43
archiva,4.82,59853286.71,4330.45,7736.49,1321.88,1334.74
validator,0.51,14442.46,81.92,120.18,2344.26,2379.51
dbcp,1.31,280865.73,201.81,529.97,2308.51,2342.75
codec,0.56,20943.58,92.07,144.72,2132.26,2166.22
vfs,0.6,129613.27,159.59,360.02,2359.09,2405.77
